interaction_id,customer_id,rm_id,interaction_date,channel,subject,summary,commitments_by_customer,commitments_by_bank,next_follow_up_date,sentiment,linked_task_id,created_by
INT-B-001,CTB-RTL-002,RM-2207,2026-02-20,Service ticket,Card transaction dispute,Customer reported an unauthorised card transaction of Rs 48500 at GlobalMart Online; chargeback raised and card hot-listed.,Confirm last genuine txn,Process chargeback within SLA,2026-04-18,Negative,TASK-B-001,RM
INT-B-002,CTB-RTL-002,RM-2207,2026-02-22,Call,EMI bounce,Two personal-loan EMIs bounced for insufficient balance; customer cited a delayed client payment.,Fund the account by due date,Offer restructuring options,2026-04-18,Concerned,TASK-B-002,RM
INT-B-003,CTB-RTL-002,RM-2207,2026-03-01,Call,Collections - SMA-1,Account flagged SMA-1; RM discussed a one-time EMI deferral and a step-down plan.,Decide on restructuring,Share moratorium / step-down terms,2026-04-18,Concerned,TASK-B-003,RM
INT-B-004,CTB-RTL-002,RM-2207,2026-03-10,Branch meeting,Card utilisation,Card running at ~92% utilisation revolving at 42% APR; RM advised a balance-transfer / EMI conversion to cut interest.,Choose EMI conversion,Compute EMI-conversion savings,2026-04-18,Neutral,TASK-B-004,RM
INT-B-005,CTB-RTL-002,RM-2207,2026-03-20,Call,Late-fee dispute,Customer disputed a late-payment fee; RM logged it for review.,Await fee review outcome,Review late fee waiver eligibility,2026-04-18,Negative,TASK-B-005,RM
INT-B-006,CTB-RTL-002,RM-2207,2026-04-08,Call,Retention risk,Customer mentioned closing the card and moving to another bank over the dispute and charges.,Hold closure decision,Escalate to Case-Dispute RM + Branch Manager,2026-04-18,Negative,TASK-B-006,RM
INT-C1-001,CTB-RTL-003,RM-2207,2026-02-11,Call,Standing instruction setup,Customer asked to automate the monthly card payment from the salary account.,Confirm the debit date,Set up the standing instruction,2026-04-18,Positive,TASK-C1-001,RM
INT-C1-002,CTB-RTL-003,RM-2207,2026-02-18,Branch meeting,Nominee update,Nominee details refreshed at the branch; documents complete.,Nothing outstanding,Confirm the CBS update,2026-04-18,Neutral,TASK-C1-002,RM
INT-C1-003,CTB-RTL-003,RM-2207,2026-02-26,Call,Protection gap,Single-income household with no term cover; RM raised the protection conversation.,Discuss with spouse,Share indicative term cover,2026-04-18,Neutral,TASK-C1-003,RM
INT-C1-004,CTB-RTL-003,RM-2207,2026-03-02,Call,Deposit rate query,Customer asked what rate a 400-day deposit earns against the idle savings balance.,Decide the deposit amount,Share the rate card,2026-04-18,Positive,TASK-C1-004,RM
INT-C1-005,CTB-RTL-003,RM-2207,2026-03-16,Call,Limit headroom,Utilisation running near 18%; genuine headroom exists but no borrowing need was expressed.,None,"Note the headroom, do not push",2026-04-18,Neutral,TASK-C1-004,RM
INT-C1-006,CTB-RTL-003,RM-2207,2026-04-06,Call,Relationship review,Annual relationship review; conduct clean across every product.,Continue as is,Schedule the next review,2026-04-18,Positive,TASK-C1-004,RM
INT-C2-001,CTB-RTL-004,RM-2207,2026-01-22,Service ticket,Arrear clearance,Customer asked for written confirmation that the historic EMI arrear is fully cured.,Await the letter,Issue the confirmation letter,2026-04-18,Concerned,TASK-C2-001,RM
INT-C2-002,CTB-RTL-004,RM-2207,2026-02-14,Call,Rate review request,Twelve consecutive on-time EMIs; customer asked for the rate to be revisited.,Keep repayments regular,Prepare the rate-review submission,2026-04-18,Neutral,TASK-C2-002,RM
INT-C2-003,CTB-RTL-004,RM-2207,2026-02-27,Call,Card limit restoration,Customer asked when the limit reduced during the stress period can be restored.,Await the assessment,Explain the restoration criteria,2026-04-18,Concerned,TASK-C2-003,RM
INT-C2-004,CTB-RTL-004,RM-2207,2026-03-05,Branch meeting,Consolidation options,RM modelled moving the residual card balance into the personal loan to cut the blended rate.,Review the numbers,Share the consolidation illustration,2026-04-18,Positive,TASK-C2-004,RM
INT-C2-005,CTB-RTL-004,RM-2207,2026-03-19,Call,Bureau score progress,Bureau score has recovered into the near-prime band; RM walked through what still drags it.,Avoid new enquiries,Re-check the score in 90 days,2026-04-18,Positive,TASK-C2-004,RM
INT-C2-006,CTB-RTL-004,RM-2207,2026-04-07,Call,Confidence check-in,Customer wanted reassurance that the bad year no longer defines the relationship.,Stay in touch,Acknowledge the recovery on every call,2026-04-18,Neutral,TASK-C2-004,RM
INT-C3-001,CTB-RTL-005,RM-2207,2026-02-11,Call,Standing instruction setup,Customer asked to automate the monthly card payment from the salary account.,Confirm the debit date,Set up the standing instruction,2026-04-18,Positive,TASK-C3-001,RM
INT-C3-002,CTB-RTL-005,RM-2207,2026-02-18,Branch meeting,Nominee update,Nominee details refreshed at the branch; documents complete.,Nothing outstanding,Confirm the CBS update,2026-04-18,Neutral,TASK-C3-002,RM
INT-C3-003,CTB-RTL-005,RM-2207,2026-02-26,Call,Protection gap,Single-income household with no term cover; RM raised the protection conversation.,Discuss with spouse,Share indicative term cover,2026-04-18,Neutral,TASK-C3-003,RM
INT-C3-004,CTB-RTL-005,RM-2207,2026-03-02,Call,Deposit rate query,Customer asked what rate a 400-day deposit earns against the idle savings balance.,Decide the deposit amount,Share the rate card,2026-04-18,Positive,TASK-C3-004,RM
INT-C3-005,CTB-RTL-005,RM-2207,2026-03-16,Call,Limit headroom,Utilisation running near 18%; genuine headroom exists but no borrowing need was expressed.,None,"Note the headroom, do not push",2026-04-18,Neutral,TASK-C3-004,RM
INT-C3-006,CTB-RTL-005,RM-2207,2026-04-06,Call,Relationship review,Annual relationship review; conduct clean across every product.,Continue as is,Schedule the next review,2026-04-18,Positive,TASK-C3-004,RM
