date,facility_id,customer_id,sanction_limit_inr,drawing_power_inr,outstanding_inr,available_limit_inr,utilization_pct,over_limit_flag,days_over_85_pct_rolling_30,interest_serviced_flag,utilization_reason_tag,dp_shortfall_inr,source_system
2025-04-01,FAC-B-CC-001,CTB-RTL-002,300000,300000,246398.2,53601.8,82.1,N,0,,Revolving / stress,,
2025-04-02,FAC-B-CC-001,CTB-RTL-002,300000,300000,247028.35,52971.65,82.3,N,0,,Revolving / stress,,
2025-04-03,FAC-B-CC-001,CTB-RTL-002,300000,300000,248429.29,51570.71,82.8,N,0,,Revolving / stress,,
2025-04-04,FAC-B-CC-001,CTB-RTL-002,300000,300000,240827.25,59172.75,80.3,N,0,,Revolving / stress,,
2025-04-05,FAC-B-CC-001,CTB-RTL-002,300000,300000,241397.4,58602.6,80.5,N,0,,Revolving / stress,,
2025-04-06,FAC-B-CC-001,CTB-RTL-002,300000,300000,233281.24,66718.76,77.8,N,0,,Revolving / stress,,
2025-04-07,FAC-B-CC-001,CTB-RTL-002,300000,300000,246786.9,53213.1,82.3,N,0,,Revolving / stress,,
2025-04-08,FAC-B-CC-001,CTB-RTL-002,300000,300000,236554.05,63445.95,78.9,N,0,,Revolving / stress,,
2025-04-09,FAC-B-CC-001,CTB-RTL-002,300000,300000,247730.33,52269.67,82.6,N,0,,Revolving / stress,,
2025-04-10,FAC-B-CC-001,CTB-RTL-002,300000,300000,232938.07,67061.93,77.6,N,0,,Revolving / stress,,
2025-04-11,FAC-B-CC-001,CTB-RTL-002,300000,300000,231804.05,68195.95,77.3,N,0,,Revolving / stress,,
2025-04-12,FAC-B-CC-001,CTB-RTL-002,300000,300000,236523.96,63476.04,78.8,N,0,,Revolving / stress,,
2025-04-13,FAC-B-CC-001,CTB-RTL-002,300000,300000,232779.66,67220.34,77.6,N,0,,Revolving / stress,,
2025-04-14,FAC-B-CC-001,CTB-RTL-002,300000,300000,237687.62,62312.38,79.2,N,0,,Revolving / stress,,
2025-04-15,FAC-B-CC-001,CTB-RTL-002,300000,300000,245514.75,54485.25,81.8,N,0,,Revolving / stress,,
